"filename", "language", "Protocol Buffers", "C++", "Makefile", "Markdown", "Docker", "CMake", "YAML", "Swift", "XML", "Dart", "HTML", "JSON", "Groovy", "Properties", "Go", "Go Checksum File", "Go Module File", "Environment Variables", "SQL", "comment", "blank", "total"
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\void.pbjson.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 25
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\provider\api_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\provider\game_state_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\provider\storage_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\screens\login_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 55
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\screens\registration_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 72
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\screens\session_test_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 109
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\screens\start_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\utils\connection\abstract_connection.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\utils\connection\grpc_server_connection.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 25, 167
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\utils\constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
